'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8','ECG'
'[22:53:33.035 08/07/2079]',-9.768,11.331,0.391,-3.516,-3.907,-1.172,-5.470,8.596,0.781,1.563,-9.377,1.954,0.391,-0.391,2.735,-7.814,2.344,-3.126,0.391,2.735,-3.126,-0.391,2.735,-23.053
'[22:53:33.039 08/07/2079]',-10.159,12.503,1.563,-7.424,-7.033,1.954,-2.344,3.516,-2.344,0.781,-0.391,-3.126,2.344,-0.391,2.344,-9.768,3.516,-3.126,-0.781,3.126,0.781,-3.907,2.344,-62.515
'[22:53:33.043 08/07/2079]',-40.244,28.523,8.205,-18.364,-43.761,13.675,-9.768,17.582,-11.722,3.907,-6.252,-5.079,5.470,-3.907,0.391,-22.662,10.159,-10.940,-7.424,6.252,8.596,-16.410,0.391,-85.958
'[22:53:33.047 08/07/2079]',-45.324,21.880,11.331,-14.066,-63.297,26.960,0.781,8.987,-22.271,10.940,7.814,-12.894,5.079,-5.861,3.126,-19.145,11.722,-3.907,-10.549,5.079,11.331,-17.582,3.126,-93.382
'[22:53:33.051 08/07/2079]',-12.894,9.377,5.079,-9.377,-55.873,39.853,9.377,-0.781,-29.304,4.298,22.271,-11.722,5.861,-6.252,-5.079,-8.987,13.284,-1.172,-4.298,0.781,16.020,-15.629,-5.079,-76.190
'[22:53:33.055 08/07/2079]',-4.689,7.033,4.298,-7.033,-55.482,40.244,2.344,11.722,-26.960,8.596,3.907,-1.172,-7.033,-7.814,2.344,-1.563,13.675,-4.689,-3.516,5.470,3.126,-22.271,2.344,-57.436
'[22:53:33.059 08/07/2079]',-0.781,12.503,3.516,-3.126,-36.728,29.304,0.781,18.364,-18.364,7.424,0.391,13.675,-10.940,0.000,10.940,4.298,14.457,-4.689,-2.735,7.814,-8.987,-12.112,10.940,-52.357
'[22:53:33.063 08/07/2079]',29.695,14.847,-3.907,-10.940,-3.907,26.569,1.172,6.252,-23.443,5.079,4.298,10.549,-1.172,-15.238,11.331,2.735,11.722,-8.987,4.689,7.424,-19.536,-12.894,11.331,-46.886
'[22:53:33.066 08/07/2079]',4.689,10.940,6.252,-16.410,-16.410,14.847,1.954,5.470,-16.410,0.781,8.205,14.457,4.689,-17.192,11.331,8.596,5.079,-12.894,-5.470,5.470,-9.768,-17.582,11.331,-36.337
'[22:53:33.070 08/07/2079]',-13.675,14.847,14.066,-19.536,-32.039,18.364,1.954,7.033,-15.238,1.172,7.814,12.503,10.940,-14.457,2.344,7.814,3.516,-12.112,-13.284,8.987,-8.205,-18.364,2.344,-23.834
'[22:53:33.074 08/07/2079]',-20.317,13.675,6.252,-22.662,-41.807,17.192,0.391,1.172,-26.960,6.642,2.344,-1.954,39.853,-40.635,-5.079,-13.284,3.907,-12.112,-5.470,6.252,5.079,-21.490,-5.079,-12.503
'[22:53:33.078 08/07/2079]',-35.556,13.675,3.907,-19.536,-59.780,14.457,-1.172,8.987,-12.503,-4.298,-6.642,3.126,6.642,-8.596,-2.344,-15.238,2.344,-15.238,-3.126,8.987,6.252,-21.880,-2.344,-6.642
'[22:53:33.082 08/07/2079]',-17.192,12.503,5.470,-14.457,-38.291,12.894,-0.391,12.112,-8.987,4.298,-5.079,5.861,12.112,-2.735,-3.516,-8.987,6.252,-11.722,-4.689,17.192,3.907,-22.662,-3.516,-3.907
'[22:53:33.086 08/07/2079]',-5.079,1.954,-10.159,-2.735,-28.132,5.861,-5.079,11.722,-18.364,1.172,-6.252,7.814,1.172,-6.252,1.563,-10.940,2.735,-12.894,10.940,11.331,-0.781,-16.801,1.563,-5.079
'[22:53:33.090 08/07/2079]',-16.020,15.238,-12.503,-12.894,-40.635,7.424,-3.516,10.159,-26.569,-7.814,-6.642,15.238,-14.066,-5.861,0.000,-5.470,-1.172,-17.192,13.284,1.172,-7.033,-13.284,0.000,-7.033
'[22:53:33.094 08/07/2079]',-18.364,21.880,-1.954,-21.099,-39.072,9.768,-2.735,11.331,-26.960,-6.252,-4.689,4.689,-8.987,-8.596,0.391,-15.629,-1.172,-17.582,2.735,9.768,-10.940,-14.457,0.391,-5.079
'[22:53:33.098 08/07/2079]',-21.880,16.410,-7.424,-20.317,-40.635,8.596,-7.814,6.642,-42.198,-12.503,-1.954,5.079,-15.629,-28.523,1.563,-9.768,-4.298,-15.238,8.205,7.814,-3.126,-25.788,1.563,2.344
'[22:53:33.102 08/07/2079]',-15.238,13.284,2.344,-20.317,-46.496,19.536,0.391,5.861,-40.244,-7.033,0.781,7.033,-15.629,-15.238,3.126,-11.722,-1.563,-9.377,-1.563,-0.781,10.159,-21.099,3.126,9.768
'[22:53:33.105 08/07/2079]',-11.331,16.801,1.563,-12.894,-21.099,5.470,-1.563,11.331,-23.443,-0.391,-1.563,12.894,-0.781,-1.954,3.907,-13.675,0.000,-8.596,-0.781,4.689,15.629,-17.973,3.907,13.675
'[22:53:33.109 08/07/2079]',-3.126,17.192,-2.735,-15.238,-16.410,9.768,-8.205,10.549,-19.927,2.735,-1.563,16.020,3.516,5.079,0.000,-12.112,-0.781,-5.470,3.516,8.987,7.814,-14.847,0.000,16.410
'[22:53:33.113 08/07/2079]',1.954,16.020,-0.781,-11.331,-14.066,10.159,3.126,5.470,-11.722,2.344,6.642,8.205,0.781,15.238,0.000,-10.549,-0.781,0.000,1.563,0.391,7.814,-11.331,0.000,21.490
'[22:53:33.117 08/07/2079]',4.298,12.112,-4.689,-10.159,-17.973,11.331,7.814,-0.391,-3.516,-2.735,10.549,7.033,14.847,11.722,-6.252,-9.377,-5.079,-0.391,5.470,0.000,3.516,1.172,-6.252,26.960
'[22:53:33.121 08/07/2079]',3.126,11.722,2.735,-16.801,-27.741,14.457,4.689,8.205,-5.470,-7.814,4.298,10.159,16.801,4.298,-7.814,-12.894,-5.079,-1.563,-1.954,7.814,5.861,-10.940,-7.814,34.774
'[22:53:33.125 08/07/2079]',-5.079,5.079,0.781,-12.112,-42.589,12.503,2.344,15.629,-15.238,-9.768,-2.344,7.033,11.331,-5.861,-3.516,-22.662,-4.298,-3.516,0.000,2.344,20.708,-19.145,-3.516,28.523
'[22:53:33.129 08/07/2079]',1.172,5.079,1.172,-14.066,-30.867,8.205,1.563,12.894,-16.410,0.391,-6.252,8.596,27.350,-1.954,-6.642,-32.430,-3.516,-5.470,-0.391,3.126,37.900,-20.317,-6.642,17.582
'[22:53:33.133 08/07/2079]',-2.735,4.689,-0.391,-23.053,-37.900,13.675,-1.954,3.907,-29.695,5.470,-5.079,1.954,12.894,3.126,-12.503,-30.867,0.391,-10.549,1.172,9.377,21.880,-16.020,-12.503,4.298
'[22:53:33.137 08/07/2079]',-4.689,6.642,-6.252,-14.847,-36.728,18.364,-4.298,2.735,-20.708,-0.781,-1.563,-0.781,8.596,6.252,-13.675,-26.178,2.735,-8.205,7.033,3.907,24.225,-12.112,-13.675,-4.298
'[22:53:33.141 08/07/2079]',-4.689,9.377,-13.675,-7.033,-25.397,10.940,-5.470,1.954,-3.516,-3.907,-1.954,-0.781,19.927,13.284,-18.755,-26.569,4.689,-7.424,14.457,-3.126,24.615,3.516,-18.755,-5.861
'[22:53:33.145 08/07/2079]',-6.642,12.112,-5.079,-14.457,-22.662,9.377,-3.907,1.954,1.172,-10.549,-3.126,-4.689,24.615,12.503,-27.741,-28.132,6.252,-7.424,5.861,5.079,28.523,1.172,-27.741,-0.391
'[22:53:33.148 08/07/2079]',-1.563,4.298,-5.861,-2.344,-26.178,10.549,-7.424,15.629,0.781,-11.722,-1.954,0.391,23.443,2.344,-19.927,-18.755,6.642,-3.516,6.642,12.112,31.258,-14.066,-19.927,12.503
'[22:53:33.152 08/07/2079]',4.689,-5.861,-12.503,-5.470,-13.675,-5.470,-8.987,8.596,-15.238,-3.126,-1.563,-5.079,17.192,1.172,-26.178,-18.755,1.563,-3.516,13.284,10.159,32.039,-12.503,-26.178,21.880
'[22:53:33.156 08/07/2079]',2.344,-1.954,0.391,-19.536,-21.880,0.000,-2.344,4.298,-19.927,2.735,1.172,-9.377,17.973,4.689,-18.364,-30.085,0.000,-3.907,0.391,10.549,37.509,-21.099,-18.364,14.457
'[22:53:33.160 08/07/2079]',-10.159,4.298,-4.689,-22.271,-32.821,2.344,-9.377,6.642,-18.364,2.344,-8.987,-12.503,2.735,2.735,-16.020,-28.523,-1.172,-11.722,5.470,8.596,21.099,-19.927,-16.020,3.907
'[22:53:33.164 08/07/2079]',-5.861,5.861,-12.112,-9.768,-22.662,7.814,-7.033,0.391,-9.377,0.000,0.391,-2.735,4.689,11.722,-10.940,-18.364,-2.344,-7.814,12.894,3.126,21.099,-8.596,-10.940,-7.033
'[22:53:33.168 08/07/2079]',1.563,9.377,-7.424,-4.689,-5.861,7.424,-3.126,0.391,-1.563,-2.735,1.563,5.079,17.973,9.768,-10.940,-15.238,-0.391,-8.987,8.205,-4.689,38.681,-10.940,-10.940,-6.252
'[22:53:33.172 08/07/2079]',8.596,17.582,-7.033,1.172,0.391,12.894,-7.424,13.284,-5.470,-5.861,-3.516,14.066,15.629,12.503,-17.192,-13.675,1.172,-12.894,7.814,4.689,30.085,-7.033,-17.192,0.000
'[22:53:33.176 08/07/2079]',3.907,22.271,-8.596,-1.954,0.391,8.987,-9.377,14.457,-6.642,-3.126,-3.516,13.284,23.443,12.112,-19.927,-17.582,1.172,-11.331,9.377,7.814,29.304,-10.549,-19.927,5.861
'[22:53:33.180 08/07/2079]',-3.126,19.536,-8.987,-3.907,-10.159,7.814,-1.954,6.252,-6.252,1.563,-1.563,12.112,22.271,18.755,-22.271,-14.457,2.344,-9.377,9.768,-0.781,35.946,-10.940,-22.271,10.940
'[22:53:33.184 08/07/2079]',-0.781,16.801,-8.205,-12.894,-14.457,12.112,1.563,-6.252,-3.126,-0.781,0.391,1.954,24.615,8.205,-19.536,-17.192,1.172,-9.768,8.987,0.781,21.490,-8.205,-19.536,10.159
'[22:53:33.188 08/07/2079]',3.907,11.722,-12.503,-4.689,-4.298,9.377,-6.642,-1.563,-4.689,6.642,-9.377,4.689,23.834,1.172,-21.490,-7.814,1.563,-8.205,13.284,6.252,20.708,-16.020,-21.490,3.516
'[22:53:33.191 08/07/2079]',-4.689,13.284,-17.192,-10.549,-6.252,7.424,-12.112,-8.987,-10.549,1.563,-13.284,3.126,14.847,-3.907,-22.662,-7.814,0.781,-8.205,17.973,0.000,26.178,-14.457,-22.662,-4.689
'[22:53:33.195 08/07/2079]',3.516,15.629,-12.894,-14.066,-5.079,14.457,-8.596,-9.377,-11.722,-0.781,-10.940,-9.377,12.112,-13.284,-16.410,-17.192,-0.781,-8.987,13.675,3.907,17.192,-19.145,-16.410,-11.331
'[22:53:33.199 08/07/2079]',1.563,8.205,-7.424,-3.516,-7.424,12.894,-8.987,1.563,-19.536,5.079,-5.470,-3.907,8.205,-8.205,-13.284,-10.940,-1.172,-8.596,8.205,10.940,16.801,-17.973,-13.284,-11.722
'[22:53:33.203 08/07/2079]',-9.377,9.377,-10.549,0.391,-29.695,17.582,-8.987,10.159,-19.927,0.781,-0.781,8.205,10.549,-10.940,-12.894,1.954,-3.516,-3.907,11.331,0.391,11.331,-9.768,-12.894,-8.987
'[22:53:33.207 08/07/2079]',-3.126,14.457,-18.755,0.391,-7.424,6.252,-10.940,4.689,-10.159,-1.954,-2.344,6.252,12.112,-8.596,-7.814,-3.126,-4.689,-6.642,19.536,-5.861,10.940,-11.331,-7.814,-9.377
'[22:53:33.211 08/07/2079]',0.000,14.457,-14.457,-3.907,7.424,-1.563,-17.192,6.642,-1.563,-6.642,-10.159,8.987,9.768,-5.079,-7.424,-7.424,-5.079,-9.768,15.238,-1.954,11.331,-12.112,-7.424,-9.768
'[22:53:33.215 08/07/2079]',14.066,17.582,-19.927,-1.172,23.443,0.391,-25.006,10.940,3.907,-13.284,-10.549,22.271,8.596,-3.907,-10.549,8.596,-5.861,-7.033,20.708,0.000,2.344,-14.457,-10.549,-7.424
'[22:53:33.219 08/07/2079]',16.020,10.549,-15.238,-10.549,20.708,1.563,-18.364,-3.516,-0.391,-7.033,-5.079,17.192,19.536,-16.410,-2.735,3.126,-6.252,-3.907,16.020,-3.516,5.861,-18.755,-2.735,-3.907
'[22:53:33.223 08/07/2079]',-4.298,10.940,2.344,-6.252,-1.172,6.642,-13.284,9.768,-7.424,-12.894,-4.298,19.145,10.549,-15.238,-4.689,1.954,-6.252,-6.252,-1.563,-1.563,3.907,-12.112,-4.689,-0.781
'[22:53:33.227 08/07/2079]',-12.503,14.457,-0.781,-2.344,-13.675,10.159,-17.582,17.973,-15.238,-8.596,-5.861,17.192,13.675,-18.755,-6.252,-0.781,-3.907,-6.642,1.563,5.470,-0.781,-15.238,-6.252,2.735
'[22:53:33.230 08/07/2079]',-9.768,10.159,-1.172,-7.033,-15.238,12.503,-12.112,5.470,-28.132,6.642,2.735,8.987,58.217,-48.059,-14.457,-3.516,-1.954,-1.954,1.954,2.735,9.768,-13.284,-14.457,5.861
'[22:53:33.234 08/07/2079]',-5.470,1.563,2.344,-5.861,-5.861,7.814,-10.159,0.391,-3.126,-12.894,0.000,-0.391,-9.768,3.907,-7.033,-5.079,-1.172,-7.033,-1.563,-2.735,-1.954,-2.735,-7.033,4.689
'[22:53:33.238 08/07/2079]',11.722,5.861,-8.596,-4.298,13.675,4.298,-18.364,3.126,5.079,-7.814,-6.252,5.861,-3.126,2.344,1.172,-4.298,1.563,-7.814,9.377,-5.079,-4.298,-7.033,1.172,0.000
'[22:53:33.242 08/07/2079]',9.377,9.768,-13.284,-5.079,12.503,6.642,-21.490,1.563,4.689,-3.516,-5.861,5.861,-6.252,4.298,0.781,1.563,7.424,-5.079,14.066,-3.126,-14.847,-1.954,0.781,-8.205
'[22:53:33.246 08/07/2079]',5.470,7.424,-15.629,1.954,10.940,4.298,-16.410,-0.391,9.377,-8.987,1.954,3.907,-24.225,15.629,3.907,9.377,10.159,-5.861,16.410,-6.642,-24.225,2.344,3.907,-12.503
'[22:53:33.250 08/07/2079]',9.377,3.126,-21.880,10.549,14.847,1.563,-15.629,-0.781,-4.689,-8.987,5.861,5.079,-16.801,-10.940,2.735,21.880,9.377,-8.205,22.662,-4.689,-21.880,-6.252,2.735,-11.722
'[22:53:33.254 08/07/2079]',3.126,6.252,-19.536,2.735,-3.907,17.582,-16.410,-5.470,-11.722,1.954,2.344,-3.516,-2.344,-14.847,-1.172,8.596,12.112,-7.814,20.317,3.126,-15.629,-5.079,-1.172,-6.642
'[22:53:33.258 08/07/2079]',-16.020,1.954,-19.145,1.172,-17.973,8.596,-14.066,-9.768,-6.252,-4.298,3.516,-16.410,2.344,-11.331,-7.814,-7.033,11.722,-11.722,19.927,-1.563,3.907,-5.079,-7.814,-4.689
'[22:53:33.262 08/07/2079]',-19.536,5.861,-16.801,6.252,-10.549,4.689,-15.629,-3.516,2.344,-0.781,-6.252,-9.768,-4.689,0.391,-5.861,-3.907,13.675,-15.629,17.582,-3.126,5.079,2.344,-5.861,-3.516
'[22:53:33.266 08/07/2079]',-17.192,7.033,-14.457,-3.516,-3.126,1.563,-17.973,-9.768,5.079,2.344,-0.781,-17.192,3.907,7.424,-6.642,-15.629,17.192,-16.801,15.238,5.079,6.252,2.344,-6.642,-4.298
'[22:53:33.270 08/07/2079]',-10.940,-2.344,-20.317,4.298,-2.344,-1.172,-18.364,-7.814,14.066,-1.954,0.000,-14.457,8.987,4.689,-11.722,-6.252,16.801,-16.410,21.099,1.954,2.344,5.079,-11.722,-9.377
'[22:53:33.273 08/07/2079]',-6.642,-8.205,-8.205,10.549,12.112,-14.457,-12.894,0.781,11.722,-11.722,0.000,-6.642,-6.252,4.298,-12.894,8.205,13.284,-17.973,8.987,-2.735,-2.735,11.331,-12.894,-14.847
'[22:53:33.277 08/07/2079]',-9.377,-5.861,-7.424,1.563,-2.344,-4.689,-10.940,-3.516,6.642,-4.689,-2.735,-13.284,0.391,-7.424,-3.907,-3.126,12.112,-19.145,8.205,4.298,-3.907,0.391,-3.907,-24.615
'[22:53:33.281 08/07/2079]',-4.689,-12.112,-9.377,12.112,-11.722,4.298,-9.377,0.781,-7.814,-4.298,-1.954,-2.344,-3.907,-12.503,-7.424,6.252,12.503,-18.364,10.159,6.252,5.079,-3.516,-7.424,-27.741
'[22:53:33.285 08/07/2079]',-15.238,-11.722,-9.377,14.066,-5.470,-8.596,-6.252,-3.516,-5.861,-2.344,-5.470,-5.079,-23.443,4.298,-5.861,6.252,9.768,-19.927,10.159,0.391,0.391,4.689,-5.861,-33.211
'[22:53:33.289 08/07/2079]',-14.457,-1.954,-21.099,4.298,-9.377,-6.642,-12.503,-5.470,-5.079,-1.172,-17.973,-6.252,-23.443,9.768,0.391,-17.192,7.814,-26.178,21.880,2.344,-0.781,3.907,0.391,-43.761
'[22:53:33.293 08/07/2079]',-2.735,3.907,-14.457,-4.689,16.801,-17.192,-16.801,-3.516,-1.563,-6.252,-17.192,-11.722,-0.781,-8.987,-5.861,-21.490,4.689,-25.788,15.238,2.344,1.563,-1.172,-5.861,-54.701
'[22:53:33.297 08/07/2079]',-1.172,-0.391,-13.284,-0.781,16.410,-17.973,-9.377,-6.642,0.391,-8.596,-5.470,-10.549,0.391,-12.894,-2.735,-7.814,-1.172,-18.364,14.066,-2.344,2.344,-3.126,-2.735,-65.641
'[22:53:33.301 08/07/2079]',-3.907,-2.735,-7.424,-2.344,0.781,-8.205,-3.126,-7.424,-10.940,-11.722,1.172,-3.907,0.000,-21.490,-5.861,1.954,-3.907,-13.675,8.205,-10.159,5.861,-1.172,-5.861,-66.813
'[22:53:33.305 08/07/2079]',6.642,-3.907,-3.516,0.000,9.768,-6.642,-8.205,2.735,-41.416,1.563,5.861,3.126,32.430,-58.999,-9.377,5.861,-1.172,-11.331,4.298,-3.126,14.457,-12.503,-9.377,-61.734
'[22:53:33.309 08/07/2079]',-1.172,2.735,1.563,-1.172,10.549,-6.252,-9.377,7.033,-31.258,-8.596,1.954,4.298,-26.960,-10.940,-0.781,5.861,0.781,-12.503,-0.781,-4.689,5.470,-8.987,-0.781,-48.059
'[22:53:33.313 08/07/2079]',-10.549,2.735,-4.298,-3.907,-0.781,-7.424,-6.642,-1.563,-15.629,-10.549,5.079,-1.563,-25.788,8.596,-4.689,-1.172,0.781,-14.457,5.079,-5.470,-8.205,6.642,-4.689,-24.225
'[22:53:33.316 08/07/2079]',-2.735,3.516,-4.689,-6.642,9.377,-6.642,-6.642,-7.424,10.940,-13.284,7.424,-2.344,-6.642,5.861,1.563,0.391,5.079,-17.582,5.470,-1.954,-13.284,3.126,1.563,3.907
'[22:53:33.320 08/07/2079]',-11.722,2.344,2.344,-2.735,1.172,-2.344,-4.298,-4.298,27.741,-14.847,6.252,-4.689,-9.377,6.642,12.112,4.298,4.689,-12.894,-1.563,1.172,-19.536,-0.781,12.112,35.556
'[22:53:33.324 08/07/2079]',-34.774,5.861,-1.172,3.516,-31.258,5.861,-1.172,0.000,23.834,-7.424,6.252,-1.172,-10.940,16.020,7.033,8.596,5.079,-8.205,1.954,-9.377,-21.880,10.940,7.033,61.734
'[22:53:33.328 08/07/2079]',-25.788,5.470,3.516,0.391,-33.602,18.755,0.000,-0.781,18.755,-3.516,1.954,1.563,8.987,-4.689,5.861,7.424,5.861,-5.079,-2.735,-5.079,-8.205,1.563,5.861,77.363
'[22:53:33.332 08/07/2079]',0.391,-0.391,5.861,1.954,-3.907,11.331,-3.516,3.516,16.020,-2.344,3.907,-1.954,6.252,-3.516,10.159,1.954,5.861,-6.642,-5.079,2.735,-7.424,-6.252,10.159,87.521
'[22:53:33.336 08/07/2079]',23.834,-3.907,3.126,2.344,33.211,-3.516,-6.252,1.954,17.582,-4.298,3.126,-4.689,3.907,12.894,-3.516,-1.563,2.735,-8.205,-2.344,-1.563,-0.391,2.735,-3.516,77.753
'[22:53:33.340 08/07/2079]',22.662,3.516,-4.298,-5.079,35.165,-3.907,-5.470,-8.205,17.973,-7.033,6.642,-1.563,11.331,4.689,5.470,-6.642,3.516,-10.940,5.079,-4.689,6.252,0.000,5.470,57.827
'[22:53:33.344 08/07/2079]',25.397,8.987,4.689,-4.689,45.714,-9.377,-6.252,4.298,21.880,-13.284,2.735,-2.344,3.126,-1.954,15.629,-8.596,5.079,-13.675,-3.907,0.000,-3.516,-5.470,15.629,35.165
'[22:53:33.348 08/07/2079]',13.284,-1.563,-1.172,5.470,31.258,-12.503,-8.205,5.861,-0.781,0.781,3.126,4.689,-9.377,-2.344,16.020,2.735,2.735,-12.112,1.954,0.781,-14.066,2.735,16.020,27.741
'[22:53:33.352 08/07/2079]',0.781,-5.079,1.954,2.344,-0.391,2.344,-0.391,-0.781,0.391,-7.424,3.907,6.252,-12.894,-3.907,12.894,6.642,1.954,-10.549,-1.172,-5.079,-5.470,4.298,12.894,23.834
'[22:53:33.355 08/07/2079]',8.987,-7.033,1.172,1.954,2.344,0.000,-1.172,4.689,8.987,-1.954,-1.172,0.781,-10.940,9.768,15.238,-7.424,0.781,-13.675,-0.391,-1.172,-7.424,3.516,15.238,29.304
'[22:53:33.359 08/07/2079]',-8.987,-7.814,-4.298,-1.954,-8.987,-7.424,-10.549,3.126,3.907,-0.781,-9.768,1.563,-9.768,10.159,5.470,-12.112,0.391,-16.801,5.079,5.470,-5.861,2.344,5.470,23.834
'[22:53:33.363 08/07/2079]',1.563,3.516,1.563,-3.907,-1.172,5.861,1.954,-3.126,3.516,2.344,3.907,-5.079,6.642,4.689,4.689,-10.159,4.689,-9.377,-0.781,-2.735,0.391,2.735,4.689,19.536
'[22:53:33.367 08/07/2079]',14.457,-2.735,8.596,8.205,10.940,1.954,9.768,7.033,0.000,7.033,15.238,10.159,2.344,5.470,16.410,8.205,7.814,-3.126,-7.814,-4.298,0.391,1.954,16.410,13.675
'[22:53:33.371 08/07/2079]',0.391,5.470,7.033,-1.172,0.391,1.563,2.344,7.033,2.344,1.563,8.205,9.768,9.377,-3.516,12.894,3.516,8.596,-4.298,-6.252,2.735,-10.549,1.172,12.894,16.801
'[22:53:33.375 08/07/2079]',-8.987,6.252,1.954,9.377,-9.377,0.000,1.563,17.582,-6.252,4.689,7.814,8.596,35.946,-30.085,7.424,1.954,7.424,-2.735,-1.172,2.735,-6.642,0.781,7.424,24.615
'[22:53:33.379 08/07/2079]',-11.331,11.331,-0.781,10.549,-12.503,0.391,5.079,17.192,12.112,-6.252,3.516,8.205,-6.252,15.238,7.814,1.172,0.391,-1.954,1.563,-2.735,-5.079,7.424,7.814,33.211
'[22:53:33.383 08/07/2079]',-15.238,2.735,-6.252,5.861,-21.490,-4.689,0.781,11.722,12.112,-9.768,-1.954,-1.563,-4.689,16.020,0.391,-12.894,-4.298,-7.424,7.033,3.126,0.391,3.907,0.391,41.026
'[22:53:33.387 08/07/2079]',-9.768,-1.954,-7.033,8.205,-26.960,0.781,1.563,12.894,10.549,-7.814,-3.907,-5.470,1.172,11.722,-3.516,-16.020,-6.252,-5.470,7.814,3.516,5.861,4.298,-3.516,42.589
'[22:53:33.391 08/07/2079]',12.894,1.172,-1.954,9.377,-1.563,2.344,7.033,14.457,8.596,0.391,-4.298,2.735,-3.516,22.271,0.391,-10.940,-3.516,-1.954,2.735,-1.954,11.722,11.331,0.391,31.648
'[22:53:33.395 08/07/2079]',9.377,-7.033,1.172,4.298,8.205,-13.675,0.781,11.722,2.735,0.781,-8.987,4.689,3.126,15.238,-1.563,-18.755,-5.470,-6.642,-0.391,7.033,21.490,7.814,-1.563,14.457
'[22:53:33.398 08/07/2079]',12.112,-10.549,-7.033,2.344,-4.298,-2.344,-5.470,8.596,-7.424,1.954,-8.205,7.814,12.503,-3.516,-5.079,-10.940,-4.689,-8.596,7.814,14.066,7.033,8.596,-5.079,0.781
'[22:53:33.402 08/07/2079]',12.112,-10.549,1.954,7.033,10.549,-9.768,-1.172,12.112,-6.642,9.768,-7.033,6.642,5.079,14.066,-9.768,-6.642,-7.033,-6.642,-1.172,5.470,12.503,14.847,-9.768,-11.331
'[22:53:33.406 08/07/2079]',1.172,-5.470,0.391,8.987,2.735,-8.205,0.391,10.940,6.252,-5.470,-10.159,2.344,2.344,17.192,-15.629,-12.503,-12.503,-7.033,0.391,2.735,18.364,16.410,-15.629,-13.675
'[22:53:33.410 08/07/2079]',1.954,1.954,2.344,7.814,2.735,-7.033,2.735,16.410,10.549,-4.298,-12.503,0.781,5.861,8.987,-9.768,-11.331,-12.112,-3.126,-1.563,3.907,11.722,4.689,-9.768,-6.642
'[22:53:33.414 08/07/2079]',17.582,-0.391,5.079,7.424,6.642,3.907,9.768,9.768,10.159,-2.344,-8.987,-8.987,21.490,6.252,-24.615,-14.066,-10.940,5.861,-4.298,6.642,28.132,0.000,-24.615,-3.126
